******** CONFIGURAÇÃO DE PARALELISMO **************

Número de jobs: 4
Tipo de backend utilizado:  multiprocessing

******** CONFIGURAÇÃO DE PARALELISMO **************


# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000      163.051     1197.324
       0.007        0.000      163.051     1197.324
       0.015        1.256      163.051     1197.324
       0.023        0.000      163.051     1197.324
       0.024        0.000      163.051     1197.324
       0.024        0.000      163.051     1197.324
       0.025        0.000      163.051     1197.324
       0.025        0.000      163.051     1197.324
       0.026        0.000      163.051     1197.324
       0.039        0.000      163.051     1197.324
       0.043        0.000      163.051     1197.324
       0.045        0.000      163.051     1197.324
       0.045        0.000      163.051     1197.324
       0.046        0.000      163.051     1197.324
       0.046        0.000      163.051     1197.324
       0.050        0.000      163.051     1197.324
       0.053        0.000      163.051     1197.324
       0.059        0.000      163.051     1197.324
       0.060        0.000      163.051     1197.324
       0.064        0.000      163.051     1197.324
       0.064       20.466      163.051     1197.324
       0.065        0.000      163.051     1197.324
       0.065        0.000      163.051     1197.324
       0.066        0.000      163.051     1197.324
       0.066        0.000      163.051     1197.324
       0.086        0.000      163.051     1197.324
       0.099        0.000      163.051     1197.324
       0.099        0.000      163.051     1197.324
       0.100        0.000      163.051     1197.324
       0.104        0.000      163.051     1197.324
       0.105        0.000      163.051     1197.324
       0.105        0.000      163.051     1197.324
       0.106        0.000      163.051     1197.324
       0.106        0.000      163.051     1197.324
       0.122        0.000      163.051     1197.324
       0.122        0.000      163.051     1197.324
       0.124        0.000      163.051     1197.324
       0.124        0.000      163.051     1197.324
       0.125       20.524      163.051     1197.324
       0.125        0.000      163.051     1197.324
       0.126        0.000      163.051     1197.324
       0.126        0.000      163.051     1197.324
       0.139        0.000      163.051     1197.324
       0.139        0.000      163.051     1197.324
       0.143        0.000      163.051     1197.324
       0.143        0.000      163.051     1197.324
       0.144        0.000      163.051     1197.324
       0.144        0.000      163.051     1197.324
       0.145        0.000      163.051     1197.324
       0.151        0.000      163.051     1197.324
       0.151        0.000      163.051     1197.324
       0.152        0.000      163.051     1197.324
       0.152        0.000      163.051     1197.324
       0.164        0.000      163.051     1197.324
       0.164        0.000      163.051     1197.324
       0.165        0.000      163.051     1197.324
       0.165        0.000      163.051     1197.324
       0.166       20.495      163.051     1197.324
       0.166        0.000      163.051     1197.324
       0.175        0.000      163.051     1197.324
       0.176        0.000      163.051     1197.324
       0.176        0.000      163.051     1197.324
       0.177        0.000      163.051     1197.324
       0.181        0.000      163.051     1197.324
       0.182        0.000      163.051     1197.324
       0.182        0.000      163.051     1197.324
       0.202        0.000      163.051     1197.324
       0.211        0.000      163.051     1197.324
       0.212        0.000      163.051     1197.324
       0.213        0.000      163.051     1197.324
       0.217        0.000      163.051     1197.324
       0.217        0.000      163.051     1197.324
       0.218        0.000      163.051     1197.324
       0.218        0.000      163.051     1197.324
       0.229        0.867      163.051     1197.324
       0.230        0.000      163.051     1197.324
       0.238        0.000      163.051     1197.324
       0.238        0.000      163.051     1197.324
       0.245        0.000      163.051     1197.324
       0.255        0.000      163.051     1197.324
       0.255        0.000      163.051     1197.324
       0.256        0.000      163.051     1197.324
       0.262        0.000      163.051     1197.324
       0.262        0.000      163.051     1197.324
       0.263        0.000      163.191     1197.324
       0.278        0.000      163.191     1197.324
       0.279        0.000      163.191     1197.324
       0.288        0.000      163.191     1197.324
       0.289        0.000      163.191     1197.324
       0.289        0.000      163.191     1197.324
       0.290        0.000      163.191     1197.324
       0.307        0.000      163.191     1197.324
       0.307        0.000      163.191     1197.324
       0.308        0.600      163.191     1197.324
       0.325        0.000      163.191     1197.324
       0.325        0.000      163.191     1197.324
       0.327        0.000      163.191     1197.324
       0.330        0.000      163.191     1197.324
       0.331        0.000      163.191     1197.324
       0.340        0.000      163.191     1197.324
       0.342        0.000      163.191     1197.324
       0.343        0.000      163.191     1197.324
