******** CONFIGURAÇÃO DE PARALELISMO **************

Número de jobs: 4
Tipo de backend utilizado:  multiprocessing

******** CONFIGURAÇÃO DE PARALELISMO **************


# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000      178.469     1416.516
       0.001        0.000      178.469     1416.516
       0.002        0.000      178.469     1416.516
       0.002        0.000      178.469     1416.516
       0.003        0.000      178.469     1416.516
       0.003        0.000      178.469     1416.516
       0.005        0.000      178.469     1416.516
       0.005        0.000      178.469     1416.516
       0.006        0.000      178.469     1416.516
       0.010        0.000      178.469     1416.516
       0.011        0.000      178.469     1416.516
       0.011        0.000      178.469     1416.516
       0.013        0.000      178.469     1416.516
       0.014        0.000      178.469     1416.516
       0.014        0.000      178.469     1416.516
       0.015        0.000      178.469     1416.516
       0.015        0.000      178.469     1416.516
       0.016        0.000      178.469     1416.516
       0.020        0.000      178.469     1416.516
       0.021        0.000      178.469     1416.516
       0.021        0.000      178.469     1416.516
       0.022        0.000      178.469     1416.516
       0.022        0.000      178.469     1416.516
       0.028        1.800      178.469     1416.516
       0.028        0.000      178.469     1416.516
       0.029        0.000      178.469     1416.516
       0.029        0.000      178.469     1416.516
       0.030        0.000      178.469     1416.516
       0.038        0.000      178.469     1416.516
       0.043        0.000      178.469     1416.516
       0.048        0.000      178.469     1416.516
       0.048        0.000      178.469     1416.516
       0.049        0.000      178.469     1416.516
       0.049        0.000      178.469     1416.516
       0.050        0.000      178.469     1416.516
       0.051        0.000      178.469     1416.516
       0.052        0.000      178.469     1416.516
       0.053        0.000      178.469     1416.516
       0.053        3.702      178.469     1416.516
       0.056        0.000      178.469     1416.516
       0.056        0.000      178.469     1416.516
       0.057        0.000      178.469     1416.516
       0.057        0.000      178.469     1416.516
       0.058        0.000      178.469     1416.516
       0.058        0.000      178.469     1416.516
       0.061        0.000      178.469     1416.516
       0.061        0.000      178.469     1416.516
       0.062        0.000      178.469     1416.516
       0.062        0.000      178.469     1416.516
       0.063        0.000      178.469     1416.516
       0.063        0.000      178.469     1416.516
       0.067        0.000      178.469     1416.516
       0.071        0.000      178.469     1416.516
       0.072        0.000      178.469     1416.516
       0.072        0.000      178.469     1416.516
       0.073        0.000      178.469     1416.516
       0.073        1.818      178.469     1416.516
       0.079        0.000      178.469     1416.516
       0.079        0.000      178.469     1416.516
       0.080        0.000      178.469     1416.516
       0.080        0.000      178.469     1416.516
       0.081        0.000      178.469     1416.516
       0.082        0.000      178.469     1416.516
       0.082        0.000      178.469     1416.516
       0.083        0.000      178.469     1416.516
       0.083        0.000      178.469     1416.516
       0.088        0.000      178.469     1416.516
       0.088        0.000      178.469     1416.516
       0.089        0.000      178.469     1416.516
       0.089        0.000      178.469     1416.516
       0.091        0.000      178.469     1416.516
       0.096        0.000      178.469     1416.516
       0.096        0.000      178.469     1416.516
       0.097        0.000      178.469     1416.516
       0.097        0.000      178.469     1416.516
       0.098        0.000      178.469     1416.516
       0.098        0.000      178.469     1416.516
       0.099        0.000      178.469     1416.516
       0.099        4.540      178.469     1416.516
       0.102        0.000      178.469     1416.516
       0.102        0.000      178.469     1416.516
       0.103        0.000      178.469     1416.516
       0.103        0.000      178.469     1416.516
       0.104        0.000      178.469     1416.516
       0.107        0.000      178.469     1416.516
       0.108        0.000      178.469     1416.516
       0.108        0.000      178.469     1416.516
       0.109        0.000      178.469     1416.516
       0.111        0.000      178.469     1416.516
       0.111        0.000      178.469     1416.516
       0.112        0.000      178.469     1416.516
       0.112        0.000      178.469     1416.516
       0.113        0.000      178.469     1416.516
       0.113        0.000      178.469     1416.516
       0.114        0.000      178.469     1416.516
       0.114        0.000      178.469     1416.516
       0.115        0.000      178.469     1416.516
       0.115       20.511      178.469     1416.516
       0.123        0.000      178.469     1416.516
       0.124        0.000      178.469     1416.516
       0.128        0.000      178.469     1416.516
       0.128        0.000      178.469     1416.516
