******** CONFIGURAÇÃO DE PARALELISMO **************

Número de jobs: 4
Tipo de backend utilizado:  multiprocessing

******** CONFIGURAÇÃO DE PARALELISMO **************


# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000      162.988     1197.570
       0.001        0.000      163.227     1197.570
       0.001        0.000      163.227     1197.570
       0.011        0.000      163.227     1197.570
       0.011        0.000      163.227     1197.570
       0.018        0.000      163.227     1197.570
       0.019        0.000      163.227     1197.570
       0.026        0.000      163.227     1197.570
       0.026        0.000      163.227     1197.570
       0.027        0.000      163.227     1197.570
       0.038        0.000      163.227     1197.570
       0.038        0.000      163.227     1197.570
       0.040        5.127      163.227     1197.570
       0.040        0.000      163.227     1197.570
       0.041        0.000      163.227     1197.570
       0.041        0.000      163.227     1197.570
       0.041        0.000      163.227     1197.570
       0.054        0.000      163.227     1197.570
       0.054        0.000      163.227     1197.570
       0.055        0.000      163.227     1197.570
       0.055        0.000      163.227     1197.570
       0.055        0.000      163.227     1197.570
       0.056        0.000      163.227     1197.570
       0.056        0.000      163.227     1197.570
       0.056        0.000      163.227     1197.570
       0.056        0.000      163.227     1197.570
       0.057        0.000      163.227     1197.570
       0.057        0.000      163.227     1197.570
       0.088        0.000      163.227     1197.570
       0.092        0.000      163.227     1197.570
       0.092        0.000      163.227     1197.570
       0.095        0.000      163.227     1197.570
       0.095        0.000      163.227     1197.570
       0.102        0.000      163.227     1197.570
       0.102        0.000      163.227     1197.570
       0.102        0.000      163.227     1197.570
       0.103        0.000      163.227     1197.570
       0.103        0.000      163.227     1197.570
       0.103        0.000      163.227     1197.570
       0.113        0.000      163.227     1197.570
       0.113        3.600      163.227     1197.570
       0.116        0.000      163.227     1197.570
       0.116        0.000      163.227     1197.570
       0.117        0.000      163.227     1197.570
       0.117        0.000      163.227     1197.570
       0.117        0.000      163.227     1197.570
       0.129        0.000      163.227     1197.570
       0.129        0.000      163.227     1197.570
       0.145        0.000      163.227     1197.570
       0.146        0.000      163.227     1197.570
       0.146        0.000      163.227     1197.570
       0.147        0.000      163.227     1197.570
       0.147        0.000      163.227     1197.570
       0.147        0.000      163.227     1197.570
       0.154        0.000      163.227     1197.570
       0.154        0.000      163.227     1197.570
       0.155        0.000      163.227     1197.570
       0.158        0.000      163.227     1197.570
       0.158        0.000      163.227     1197.570
       0.158        0.000      163.227     1197.570
       0.159        0.000      163.227     1197.570
       0.159        0.000      163.227     1197.570
       0.174        0.000      163.227     1197.570
       0.174        0.000      163.227     1197.570
       0.174        0.000      163.227     1197.570
       0.175        0.000      163.227     1197.570
       0.187        0.000      163.227     1197.570
       0.188        0.000      163.227     1197.570
       0.193        0.000      163.227     1197.570
       0.193        0.000      163.227     1197.570
       0.193        0.000      163.227     1197.570
       0.197        0.000      163.227     1197.570
       0.202        0.000      163.227     1197.570
       0.202        0.000      163.227     1197.570
       0.210        0.000      163.227     1197.570
       0.210        0.000      163.227     1197.570
       0.214        0.000      163.227     1197.570
       0.214        0.000      163.227     1197.570
       0.217        0.000      163.227     1197.570
       0.217        0.000      163.227     1197.570
       0.217        0.912      163.227     1197.570
       0.228        0.000      163.227     1197.570
       0.230        0.000      163.227     1197.570
       0.230        0.000      163.227     1197.570
       0.230        0.000      163.227     1197.570
       0.231        0.000      163.227     1197.570
       0.238        0.000      163.227     1197.570
       0.243        0.000      163.227     1197.570
       0.244        0.000      163.227     1197.570
       0.244        0.000      163.227     1197.570
       0.244        0.000      163.227     1197.570
       0.250        0.000      163.227     1197.570
       0.255        0.000      163.227     1197.570
       0.255        0.000      163.227     1197.570
       0.260        0.000      163.227     1197.570
       0.261        0.000      163.227     1197.570
       0.261        0.000      163.227     1197.570
       0.261        0.000      163.227     1197.570
       0.262        0.000      163.227     1197.570
       0.263        0.000      163.227     1197.570
       0.263        0.000      163.227     1197.570
       0.263        0.000      163.227     1197.570
