******** CONFIGURAÇÃO DE PARALELISMO **************

Número de jobs: 4
Tipo de backend utilizado:  multiprocessing

******** CONFIGURAÇÃO DE PARALELISMO **************


# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.278        0.000      270.387     1195.309
       0.281        0.000      270.387     1195.309
       0.282        0.000      270.387     1195.309
       0.282        0.000      270.387     1195.309
       0.282        0.000      270.387     1195.309
       0.282        0.000      270.387     1195.309
       0.283        0.000      270.387     1195.309
       0.283        0.000      270.387     1195.309
       0.283        0.000      270.387     1195.309
       0.284        0.000      270.387     1195.309
       0.284        0.000      270.387     1195.309
       0.284        0.000      270.387     1195.309
       0.285        0.000      270.387     1195.309
       0.293        0.000      270.387     1195.309
       0.293        0.000      270.387     1195.309
       0.294        0.000      270.387     1195.309
       0.294        0.000      270.387     1195.309
       0.294        0.000      270.387     1195.309
       0.295        0.000      270.387     1195.309
       0.295        0.000      270.387     1195.309
       0.295        0.000      270.387     1195.309
       0.296        0.000      270.387     1195.309
       0.297        0.000      270.387     1195.309
       0.297        0.000      270.387     1195.309
       0.298        0.000      270.387     1195.309
       0.298        0.000      270.387     1195.309
       0.298        0.000      270.387     1195.309
       0.301        0.000      270.387     1195.309
       0.301        0.000      270.387     1195.309
       0.302        0.000      270.387     1195.309
       0.302        0.000      270.387     1195.309
       0.302        0.000      270.387     1195.309
       0.304        0.000      270.387     1195.309
       0.304        0.000      270.387     1195.309
       0.305        0.000      270.387     1195.309
       0.309        0.000      270.387     1195.309
       0.309        0.000      270.387     1195.309
       0.310        0.000      270.387     1195.309
       0.311        0.000      270.387     1195.309
       0.311        0.000      270.387     1195.309
       0.311        0.000      270.387     1195.309
       0.311        0.000      270.387     1195.309
       0.312        0.000      270.387     1195.309
       0.312        0.000      270.387     1195.309
       0.312        0.000      270.387     1195.309
       0.313        0.000      270.387     1195.309
       0.313        0.000      270.387     1195.309
       0.314        0.000      270.387     1195.309
       0.314        0.000      270.387     1195.309
       0.314        0.000      270.387     1195.309
       0.314        0.000      270.387     1195.309
       0.315        0.000      270.387     1195.309
       0.315        0.000      270.387     1195.309
       0.315        0.000      270.387     1195.309
       0.316        0.000      270.387     1195.309
       0.316        0.000      270.387     1195.309
       0.316        0.000      270.387     1195.309
       0.317        0.000      270.387     1195.309
       0.321        0.000      270.387     1195.309
       0.321        0.000      270.387     1195.309
       0.322        0.000      270.387     1195.309
       0.322        0.000      270.387     1195.309
       0.322        0.000      270.387     1195.309
       0.323        0.000      270.387     1195.309
       0.323        0.000      270.387     1195.309
       0.326        0.000      270.387     1195.309
       0.327        0.000      270.387     1195.309
       0.327        0.000      270.387     1195.309
       0.327        0.000      270.387     1195.309
       0.328        0.000      270.387     1195.309
       0.328        0.000      270.387     1195.309
       0.328        0.000      270.387     1195.309
       0.328        0.000      270.387     1195.309
       0.337        0.000      270.387     1195.309
       0.337        0.000      270.387     1195.309
       0.338        0.000      270.387     1195.309
       0.338        0.000      270.387     1195.309
       0.338        0.000      270.387     1195.309
       0.339        0.000      270.387     1195.309
       0.339        0.000      270.387     1195.309
       0.339        0.000      270.387     1195.309
       0.340        0.000      270.387     1195.309
       0.340        0.000      270.387     1195.309
       0.340        0.000      270.387     1195.309
       0.340        0.000      270.387     1195.309
       0.345        0.000      270.387     1195.309
       0.345        0.000      270.387     1195.309
       0.346        0.000      270.387     1195.309
       0.346        0.000      270.387     1195.309
       0.346        0.000      270.387     1195.309
       0.347        0.000      270.387     1195.309
       0.347        0.000      270.387     1195.309
       0.349        0.000      270.387     1195.309
       0.350        0.000      270.387     1195.309
       0.350        0.000      270.387     1195.309
       0.351        0.000      270.387     1195.309
       0.351        0.000      270.387     1195.309
       0.352        0.000      270.387     1195.309
       0.352        0.000      270.387     1195.309
       0.352        0.000      270.387     1195.309
       0.358        0.000      270.387     1195.309
       0.358        0.000      270.387     1195.309
       0.359        0.000      270.387     1195.309
